Time,PV1,PV2,PV3
10.25277778,39.35,0.794,82.8
10.25416667,39.92,0.792,84
10.25555556,41.09,0.815,89.7
10.25694444,48.13,0.815,129.3
10.25833333,108.6,0.739,208.5
10.25972222,117.8,0.686,191.8
10.26111111,106.2,0.76,181.6
10.2625,103.2,0.741,130.8
10.26388889,65.97,0.748,92.4
10.26527778,45.37,0.783,89.4
10.26666667,44.02,0.77,90.6
10.26805556,46.57,0.796,96.8
10.26944444,46.44,0.764,99.8
10.27083333,51.19,0.788,103.4
10.27222222,61.13,0.772,84
10.27361111,38.5,0.792,74.7
10.275,34.27,0.789,72
10.27638889,32.83,0.806,70.8
10.27777778,32.16,0.796,70.2
10.27916667,31.74,0.784,69.02
10.28055556,31.24,0.781,69.02
10.28194444,31.29,0.811,69.63
10.28333333,31.55,0.787,70.2
10.28472222,32.18,0.782,72
10.28611111,33.3,0.785,75
10.2875,35.71,0.811,80.5
10.28888889,39.42,0.818,115.7
10.29027778,85,0.753,111.5
10.29166667,57.12,0.801,195.7
10.29305556,109.2,0.742,209.5
10.29444444,110.7,0.711,211.5
10.29583333,113.6,0.751,112.7
10.29722222,56.01,0.791,128.8
10.29861111,5.725,0,85.8
10.3,41.13,0.809,83.9
10.30138889,40.06,0.786,83.4
10.30277778,39.93,0.799,84
10.30416667,40.44,0.787,85.1
10.30555556,41.21,0.789,86.6
10.30694444,42.48,0.795,88.8
10.30833333,43.69,0.768,93.1
10.30972222,48.33,0.785,102.8
10.31111111,54.87,0.772,102.6
10.3125,66.14,0.81,139
10.31388889,63.6,0.73,114
10.31527778,67.38,0.77,222.7
10.31666667,113.7,0.763,221.5
10.31805556,119.8,0.71,216.6
10.31944444,113.6,0.677,219.6
10.32083333,116.3,0.693,222.4
10.32222222,115.9,0.694,221.2
10.32361111,118.3,0.709,218
10.325,114.8,0.691,159.2
10.32638889,65.86,0.767,121.4
10.32777778,67.54,0.751,155.4
10.32916667,86.7,0.712,200.6
10.33055556,102.4,0.706,101.4
10.33194444,46.5,0.767,88.5
10.33333333,42.35,0.78,88.2
10.33472222,42.93,0.769,95.1
10.33611111,44.52,0.805,90.6
10.3375,45.88,0.805,108.7
10.33888889,48.58,0.766,82.7
10.34027778,37.34,0.792,75
10.34166667,33.48,0.783,70.8
10.34305556,31.02,0.782,67.83
10.34444444,29.43,0.795,66.03
10.34583333,28.32,0.789,64.82
10.34722222,27.79,0.802,64.22
10.34861111,27.73,0.791,64.64
10.35,28,0.809,65.43
10.35138889,28.43,0.815,67.23
10.35277778,29.47,0.789,69.03
10.35416667,30.78,0.801,71.4
10.35555556,32.61,0.801,76.8
10.35694444,36.55,0.794,88.1
10.35833333,47.56,0.812,139.9
10.35972222,59.44,0.755,92.2
10.36111111,40.55,0.784,81
10.3625,38.71,0.8,131.3
10.36388889,5.205,0,96.2
10.36527778,50.11,0.801,123
10.36666667,68.33,0.788,183.6
10.36805556,97.1,0.694,199.2
10.36944444,79.6,0,100.6
10.37083333,40.97,0.77,79.8
10.37222222,36.86,0.806,78
10.37361111,36.15,0.792,78
10.375,36.18,0.787,78.6
10.37638889,36.88,0.806,82.7
10.37777778,40.29,0.813,104.1
10.37916667,72.2,0.819,196.8
10.38055556,101.7,0.776,178.8
10.38194444,92.5,0.721,181.8
10.38333333,65.94,0,149.4
10.38472222,92.3,0.753,225.2
10.38611111,117.8,0.696,222.7
10.3875,117.3,0.704,221.7
10.38888889,117.8,0.71,229.1
10.39027778,120,0.729,163.3
10.39166667,67.79,0.731,105
10.39305556,57.09,0.783,152.2
10.39444444,93.8,0.754,199.3
10.39583333,4.93,0,143
10.39722222,120.1,0.762,195.9
10.39861111,119,0.737,226.3
10.4,99.2,0,127.4
10.40138889,54.15,0.763,124.3
10.40277778,61.8,0.746,101.4
10.40416667,65.78,0.799,145.1
10.40555556,81,0.793,225.4
10.40694444,117.1,0.715,216.6
10.40833333,101.7,0.697,220.3
10.40972222,113.9,0.69,213.5
10.41111111,108.7,0.755,201.4
10.4125,90.1,0.76,163.9
10.41388889,76.4,0.751,149
10.41527778,83.7,0.761,118.2
10.41666667,58.67,0.75,141.5
10.41805556,69.76,0.761,121.4
10.41944444,67.89,0.751,93.3
10.42083333,40.06,0.803,86.8
10.42222222,37.25,0.779,78
10.42361111,34.72,0.775,75
10.425,33.48,0.798,74.3
10.42638889,33,0.811,74.4
10.42777778,33.41,0.805,76.2
10.42916667,34.92,0.777,89.1
10.43055556,42.49,0.777,100.4
10.43194444,51.23,0.753,115.5
10.43333333,53.18,0.79,118.2
10.43472222,50.23,0.748,119.3
10.43611111,75.8,0.752,136.1
10.4375,66.82,0.746,103.8
10.43888889,48.13,0.756,99.9
10.44027778,53.26,0.81,182.3
10.44166667,99.8,0.768,205.2
10.44305556,108.1,0.738,194.8
10.44444444,98.9,0.755,199.3
10.44583333,107,0.726,210.1
10.44722222,106.1,0.732,203.5
10.44861111,107.2,0.694,206.5
10.45,107.1,0.737,206.7
10.45138889,106.8,0.735,143.6
10.45277778,62.67,0.758,131.5
10.45416667,57.02,0.774,181.6
10.45555556,93.9,0.701,201.2
10.45694444,90.2,0.685,104.4
10.45833333,47.98,0.76,125.2
10.45972222,69.52,0.74,162.9
10.46111111,91.6,0.765,160.6
10.4625,89,0.744,145.4
10.46388889,94,0.773,196.1
10.46527778,101.6,0.692,198.6
10.46666667,102.6,0.701,197.5
10.46805556,102.3,0.699,197.7
10.46944444,102.9,0.703,199.9
10.47083333,102.7,0.762,188.5
10.47222222,94.5,0.709,198.7
10.47361111,104.5,0.712,203.5
10.475,105.4,0.74,204.7
10.47638889,106.2,0.729,202.3
10.47777778,104.2,0.713,198.4
10.47916667,105.8,0.725,151.3
10.48055556,76.4,0.745,205.3
10.48194444,105.3,0.692,201.7
10.48333333,104.6,0.719,186.7
10.48472222,95,0.722,205.3
10.48611111,105.8,0.736,207.1
10.4875,106.6,0.739,86.6
10.48888889,43.29,0.766,80.4
10.49027778,35.61,0.771,170.2
10.49166667,71.3,0.785,173.7
10.49305556,92.9,0.75,143.5
10.49444444,75.2,0.747,200.9
10.49583333,100.1,0.683,181.5
10.49722222,61.84,0.786,120.7
10.49861111,49.1,0.767,78
10.5,33.87,0.79,73.2
10.50138889,32.61,0.78,69.63
10.50277778,29.63,0.785,67.83
10.50416667,28.87,0.805,68.43
10.50555556,29.49,0.815,70.8
10.50694444,31.37,0.803,75
10.50833333,33.89,0.813,79.4
10.50972222,36.56,0.776,95
10.51111111,55.28,0.774,213.6
10.5125,109.5,0.675,165.9
10.51388889,76.7,0.767,99
10.51527778,42.59,0.784,84
10.51666667,38.71,0.795,83.2
10.51805556,38.41,0.803,86
10.51944444,40.73,0.789,93
10.52083333,44.87,0.807,107.5
10.52222222,56.28,0.755,154.1
10.52361111,91.8,0.741,202
10.525,112.5,0.684,149.9
10.52638889,112,0.715,134.5
10.52777778,58.94,0.761,97.2
10.52916667,47.56,0.798,101.5
10.53055556,51.91,0.81,98.9
10.53194444,48.01,0.752,97.8
10.53333333,51.3,0.789,189.1
10.53472222,104.2,0.713,222.8
10.53611111,115.4,0.696,220.9
10.5375,113.8,0.745,217.3
10.53888889,112.1,0.689,213.7
10.54027778,109.6,0.756,207.5
10.54166667,97.6,0.679,179.4
10.54305556,98.4,0.729,180
10.54444444,96.6,0.723,202.8
10.54583333,105.9,0.724,202.5
10.54722222,105.4,0.722,201.4
10.54861111,103.4,0.686,199.3
10.55,103,0.707,196.5
10.55138889,101.9,0.697,196.9
10.55277778,102.1,0.714,196.3
10.55416667,101.1,0.694,195.1
10.55555556,100.3,0.691,195.1
10.55694444,99.7,0.687,194.1
10.55833333,99.3,0.763,194.5
10.55972222,100.6,0.708,195.1
10.56111111,100.1,0.691,195.1
10.5625,100.4,0.692,196.9
10.56388889,101.9,0.717,197.5
10.56527778,101.3,0.699,198.2
10.56666667,102.4,0.708,199.9
10.56805556,103,0.712,202
10.56944444,104.1,0.724,204.1
10.57083333,105.2,0.71,207
10.57222222,105.7,0.743,207.2
10.57361111,106,0.745,210.1
10.575,108.2,0.696,213.1
10.57638889,107.8,0.678,103.7
10.57777778,43.38,0.758,84.1
10.57916667,38.3,0.8,88.7
10.58055556,41.04,0.764,93
10.58194444,41.09,0.789,84.3
10.58333333,38.59,0.789,83.4
10.58472222,37.61,0.799,81
10.58611111,36.56,0.782,79.8
10.5875,35.95,0.77,79.8
10.58888889,35.83,0.811,80.4
10.59027778,36.34,0.776,79.8
10.59166667,35.8,0.807,78.1
10.59305556,34.9,0.771,76.2
10.59444444,33.74,0.773,74.3
10.59583333,32.49,0.798,72.3
10.59722222,31.62,0.812,71.9
10.59861111,31.51,0.811,72
10.6,31.67,0.814,72.6
10.60138889,32.14,0.78,73.8
10.60277778,33.09,0.787,73.2
10.60416667,32.62,0.789,73.2
10.60555556,32.2,0.811,72.6
10.60694444,32.48,0.812,75
10.60833333,36.48,0.798,140.9
10.60972222,67.83,0.8,79.4
10.61111111,34.69,0.769,70.4
10.6125,31.13,0.789,67.23
10.61388889,29.2,0.806,68.43
10.61527778,30.28,0.808,72
10.61666667,33.2,0.78,83.1
10.61805556,44.88,0.824,134.7
10.61944444,94.1,0.744,128.7
10.62083333,88.6,0.757,130.4
10.62222222,78.3,0.748,230
10.62361111,116.8,0.71,125.9
10.625,64.29,0.785,159.9
10.62638889,79.4,0.747,149.4
10.62777778,73.2,0.722,175.9
10.62916667,96.4,0.718,202.8
10.63055556,117.8,0.731,232.2
10.63194444,119.1,0.751,176.7
10.63333333,85.5,0.706,208.8
10.63472222,109.3,0.737,171.7
10.63611111,84.6,0.759,203.7
10.6375,94.2,0.763,127.6
10.63888889,78.4,0.775,231.7
10.64027778,117.9,0.749,186.1
10.64166667,87,0.749,119.8
10.64305556,65.77,0.769,92.1
10.64444444,42.85,0.791,87.2
10.64583333,40.72,0.788,86.1
10.64722222,40.04,0.789,93.8
10.64861111,62.17,0.808,177.2
10.65,78.3,0.714,92.4
10.65138889,41.21,0.768,82.8
10.65277778,39.02,0.79,90
10.65416667,38.45,0.775,83.8
10.65555556,39.17,0.783,219.9
10.65694444,116.5,0.705,173.8
10.65833333,93.9,0.766,188.5
10.65972222,91.5,0.701,211.3
10.66111111,109.8,0.745,201.7
10.6625,105.9,0.715,204.6
10.66388889,106.5,0.735,204.8
10.66527778,107.5,0.733,206.5
